0.35	0.57	0.45	0.323	0.013	0.005
0.57	0.92	0.73	0.334	0.010	0.006
0.62	0.62	0.62	0.32	0.007	0
0.8	1	0.9	.36	.01	.02
0.80	0.80	0.80	0.326	0.006	0
0.92	1.50	1.18	0.339	0.008	0.008
1	4	1.4	0.320	0.007	0.03
1.	1.3	1.1	.33	.01	.02
1.00	1.00	1.00	0.335	0.006	0
1.25	1.25	1.25	0.334	0.005	0
1.3	1.7	1.5	.32	.01	.02
1.50	2.44	1.92	0.302	0.007	0.011
1.60	1.60	1.60	0.319	0.003	0
2.10	2.10	2.10	0.299	0.003	0
2.44	3.97	3.11	0.265	0.008	0.012
2.65	2.65	2.65	0.285	0.003	0
3.35	3.35	3.35	0.272	0.003	0
3.97	6.45	5.06	0.234	0.010	0.012
4	16	5.7	0.225	0.004	0.02
4.30	4.30	4.30	0.254	0.003	0
5.60	5.60	5.60	0.240	0.003	0		
6.45	10.5	8.22	0.199	0.012	0.015
7.50	7.50	7.50	0.216	0.003	0
9.5	86.5	23.8	.18	.004	.009
10.5	17.0	13.36	0.175	0.019	0.013
10.60	10.60	10.60	0.195	0.003	0
16	63	23	0.155	0.005	0.014
16.20	16.20	16.20	0.169	0.003	0
17.0	27.7	21.72	0.141	0.030	0.011
27.7	45.0	35.3	0.126	0.043	0.013
35.00	35.00	35.00	0.121	0.002	0
63	251	91	0.101	0.011	0.01
86.5	432	173	.082	.009	.013
251	1000	363	0.071	0.025	0.01
1000	4000	1450	0.033	0.025	0.01
1500	2070	2070	.12	.08	.04
